"","term_stem","impressions","visits"
"655","vermesungsriss",1,1
"656","wfs public transportation",1,1
"657","logisitk",1,1
"658","bezitk",2,2
"659","dop 2016 atom atrom atom",1,1
"660","rechtsamt",1,1
"661","fbi",1,1
"662","gesamtbetrag der einkunft",1,1
"663","sterblich",1,1
"664","stau",1,1
"665","logist",1,1
"666","event",1,1
"667","einwohnerdicht 2018 umweltatlas",1,1
"668","bebauungsplan",2,2
"669","dop 2016 atom",1,1
"670","kga am ang e v",1,1
"671","kirchengemeind",1,1
"672","schwimm",1,1
"673","stadtinformationssyst",1,1
"674","friedrichshein",1,1
"675","smart citt",1,1
"676","tier",1,1
"677","ausbildungsstatt fur fachberuf des gesundheitswes im land brandenburg",1,1
"678","aktenplan steglitz zehlendorf",1,1
"679","2014",1,1
"680","shopping",1,1
"681","lod1",2,2
"682","ladesaul",1,1
"683","bodenwass",1,1
"684","bundestag",1,1
"685","328 2017",1,1
"686","bezirksregion west 1",1,1
"687","tow cran",1,1
"688","job",1,1
"689","sozialstation",1,1
"690","temperatut",1,1
"691","verwaltunggrenz",1,1
"692","burogebauf",1,1
"693","sozialstruckturatlas",1,1
"694","abgeordnetenhauswahl 2016",1,1
"695","accelerator",1,1
"696","bso",1,1
"697","senat 6 08 2019",1,1
"698","abfall",1,1
"699","pdf",1,1
"700","bebauungsp",1,1
"701","caffe",1,1
"702","chlorid",2,2
"703","zuwendungsdatenbank",1,1
"704","nutzungsdauerkatalog",1,1
"705","senatsbeschluess",1,1
"706","1987",1,1
"707","friedrichshaf",1,1
"708","dop 2016 atom atrom",1,1
"709","78809",1,1
"710","s bahn netz",1,1
"711","bezirksgrenz",1,1
"712","wohnlag",1,1
"713","zugriffsstatist",1,1
"714","evaluier kunst",1,1
"715","luft",1,1
"716","alt rhof",1,1
"717","wohndau lor planungsr",1,1
"718","malzfabr",1,1
"719","contain",1,1
"720","kuh",1,1
"721","postleit",1,1
"722","glucksspiel",1,1
"723","drakestrass",1,1
"724","gross prasidentenstrass",1,1
"725","100 grun dach",1,1
"726","nettoeinkomm",1,1
"727","vinyl",1,1
"728","strassenbafahr 2014",1,1
"729","schema",1,1
"730","wm 2006 kost",1,1
"731","miet lad miet",1,1
"732","anzahl fahrradfahr",1,1
"733","strassenbafahr 20134",1,1
"734","1000 grun dach",1,1
"735","3d gebaudemodell lod1",1,1
"736","erkstrass 3",1,1
"737","wasserwerk",1,1
"738","mull",1,1
"739","geheimvertrag",1,1
"740","k5 kartenblatt",1,1
"741","anlagebaum",1,1
"742","shema",1,1
"743","psychar",1,1
"744","startup",1,1
"745","k5 kartenblatt tiff",1,1
"746","strassenlist",1,1
"747","breitbandausbau",1,1
"748","kindergart",1,1
"749","taxifahr",1,1
"750","landschaftschutz",1,1
"751","lsa",1,1
"752","feuerwehr",1,1
"753","kopenick",1,1
"754","wohnblock",2,2
"755","brandenburg geo or data or shapefil or zip or shp",1,1
"756","grundschukl",1,1
"757","flachennutzungspla n",1,1
"758","gemeindekennziff",1,1
"759","tv atz",1,1
"760","attraction",1,1
"761","cargo",1,1
"762","werbesaul",1,1
"763","schwarzplan",1,1
"764","neu mitt tempelhof",1,1
"765","viertel",1,1
"766","wohnungsbau",1,1
"767","chlor",1,1
"768","stralau",1,1
"769","tourist destination",1,1
"770","stralau halbinsel",1,1
"771","kriminalitat",1,1
"772","strassensperr",1,1
"773","rechtshilf",1,1
"774","grundschuleinzugsbereich",1,1
"775","muf",1,1
"776","smart citi",1,1
"777","erdgasverbrauch",1,1
"778","temperatur 2019",1,1
"779","wirtschaftsverkehrskonzept",1,1
"780","kaltluftbahn",1,1
"781","postleitzahl csv",1,1
"782","regional seltneheit",1,1
"783","koalitionsvereinbar",1,1
"784","2018 1104",1,1
"785","erdgas",1,1
"786","2018 or vom or 27 03 2018",1,1
"787","wass marsch",1,1
"788","zustandigkeitsfind grundbuch",1,1
"789","wfs stationenn",1,1
"790","stadtplan mitt",1,1
"791","afd",1,1
"792","behindertenparkplatz",1,1
"793","rechtsmittel",1,1
"794","patent",1,1
"795","sabatikel",1,1
"796","bar",1,1
"797","lod2",1,1
"798","18 06 2019",1,1
"799","27 03 2018",1,1
